icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
0c21a7,CMP857  ,Panama,1784797434.0,1784797434,-94.1246,17.6664,11277.6,False,250.22,120.52,0.0,,12016.74,,False,0,2026-07-23 09:04:03.321935
71c011,KAL094  ,Republic of Korea,1784797435.0,1784797435,126.4916,37.6712,1394.46,False,115.34,282.36,-5.53,,1447.8,6144,False,0,2026-07-23 09:04:03.321935
502d23,AUA27PQ ,Latvia,1784797435.0,1784797435,14.984,50.0062,8839.2,False,238.26,138.15,0.0,,8923.02,1000,False,0,2026-07-23 09:04:03.321935
872968,ANA1144 ,Japan,1784797434.0,1784797435,138.8557,39.0667,12192.0,False,224.38,215.29,0.0,,13007.34,,False,0,2026-07-23 09:04:03.321935
3b1fff,FLYCO1  ,France,1784797300.0,1784797300,2.3473,48.724,,True,5.92,264.38,,,,,False,0,2026-07-23 09:04:03.321935
3d0632,DEAPE   ,Germany,1784797435.0,1784797435,7.899,47.9848,3352.8,False,96.96,195.07,0.0,,3520.44,1000,False,0,2026-07-23 09:04:03.321935
89917e,CAL835  ,Taiwan,1784797435.0,1784797435,101.3878,14.2363,5570.22,False,155.81,68.09,-4.88,,5852.16,,False,0,2026-07-23 09:04:03.321935
502d0d,AUA74K  ,Latvia,1784797429.0,1784797429,19.3099,43.0465,8839.2,False,249.07,161.45,0.0,,9189.72,5150,False,0,2026-07-23 09:04:03.321935
502d0c,ASL86C  ,Latvia,1784797434.0,1784797434,20.8354,44.2803,2674.62,False,144.15,342.34,-3.9,,2796.54,7023,False,0,2026-07-23 09:04:03.321935
502d0e,BTI711  ,Latvia,1784797434.0,1784797435,24.01,56.5296,4030.98,False,168.58,188.6,10.4,,4046.22,4507,False,0,2026-07-23 09:04:03.321935
71c004,AAR8708 ,Republic of Korea,1784797435.0,1784797435,126.6325,37.6642,891.54,False,98.82,75.53,0.0,,891.54,5122,False,0,2026-07-23 09:04:03.321935
4aac36,SEKAV   ,Sweden,1784797435.0,1784797435,15.4641,58.8322,914.4,False,46.53,35.1,0.0,,937.26,,False,0,2026-07-23 09:04:03.321935
71c007,KAL035  ,Republic of Korea,1784797435.0,1784797435,-149.8063,59.9883,10668.0,False,288.74,97.06,0.0,,11102.34,,False,0,2026-07-23 09:04:03.321935
4ba9f9,THY6421 ,Turkey,1784797416.0,1784797416,4.3334,36.6859,12192.0,False,223.58,266.97,0.0,,12976.86,,False,0,2026-07-23 09:04:03.321935
502d29,BEL1ZT  ,Latvia,1784797431.0,1784797431,12.6435,55.6221,,True,13.38,25.31,,,,7120,False,0,2026-07-23 09:04:03.321935
4cafb3,RYR6ZV  ,Ireland,1784794976.0,1784797432,23.5822,55.8064,11582.4,False,1357.29,291.9,0.0,,7711.44,1330,False,0,2026-07-23 09:04:03.321935
4cafb4,RYR110P ,Ireland,1784797433.0,1784797435,16.99,41.0678,2979.42,False,124.22,69.39,-5.85,,3162.3,1411,False,0,2026-07-23 09:04:03.321935
4cafb5,RYR73AH ,Ireland,1784797424.0,1784797424,-4.4262,55.8734,,True,4.63,19.69,,,,,False,0,2026-07-23 09:04:03.321935
502d28,SWR1V   ,Latvia,1784797435.0,1784797435,2.9846,40.4689,10668.0,False,217.18,206.44,0.0,,11292.84,1000,False,0,2026-07-23 09:04:03.321935
40649f,SHT13C  ,United Kingdom,1784797434.0,1784797435,-2.2968,53.0752,8229.6,False,233.05,179.49,0.33,,8686.8,5667,False,0,2026-07-23 09:04:03.321935
502d27,BTI657  ,Latvia,1784797435.0,1784797435,22.329,50.5025,11277.6,False,222.37,187.04,0.0,,11384.28,1355,False,0,2026-07-23 09:04:03.321935
4076cc,BAW626  ,United Kingdom,1784797433.0,1784797433,19.9459,39.2818,11277.6,False,261.14,126.51,0.0,,11826.24,3467,False,0,2026-07-23 09:04:03.321935
a4dbef,DAL66   ,United States,1784797434.0,1784797435,8.5862,44.0205,11887.2,False,282.71,133.75,0.0,,12359.64,2250,False,0,2026-07-23 09:04:03.321935
89914c,MDA1272 ,Taiwan,1784797435.0,1784797435,121.5052,25.0713,243.84,False,61.77,91.91,-3.9,,236.22,,False,0,2026-07-23 09:04:03.321935
7c67d8,USQ     ,Australia,1784797435.0,1784797435,152.9997,-27.547,251.46,False,55.49,287.26,0.0,,342.9,1200,False,0,2026-07-23 09:04:03.321935
89914e,MDA311  ,Taiwan,1784797422.0,1784797430,119.4769,23.5678,3413.76,False,131.7,315.95,-0.33,,3589.02,1062,False,0,2026-07-23 09:04:03.321935
06a37c,QTR7H   ,Qatar,1784797233.0,1784797431,37.8546,29.58,10972.8,False,248.33,280.26,0.0,,11841.48,2132,False,0,2026-07-23 09:04:03.321935
781625,CUA5691 ,China,1784797197.0,1784797197,114.7387,41.3317,8412.48,False,239.78,292.05,0.0,,8785.86,,False,0,2026-07-23 09:04:03.321935
3d4179,DEXAV   ,Germany,1784797434.0,1784797435,9.8748,52.5374,1478.28,False,56.5,100.49,-0.33,,1554.48,6516,False,0,2026-07-23 09:04:03.321935
406fdb,EZY9007 ,United Kingdom,1784797435.0,1784797435,-3.3623,54.5433,10058.4,False,206.11,150.88,0.33,,10591.8,6037,False,0,2026-07-23 09:04:03.321935
a1211d,FDX1404 ,United States,1784797434.0,1784797435,-101.1649,35.4418,10370.82,False,243.89,268.91,0.33,,11117.58,1670,False,0,2026-07-23 09:04:03.321935
a23a28,UAL8267 ,United States,1784797168.0,1784797168,-122.3866,37.6199,,True,1.8,295.31,,,,7212,False,0,2026-07-23 09:04:03.321935
502d59,BTI92L  ,Latvia,1784797434.0,1784797435,5.2691,49.3878,10187.94,False,201.59,69.07,3.25,,10523.22,3351,False,0,2026-07-23 09:04:03.321935
502d58,BTI9TZ  ,Latvia,1784795536.0,1784797433,20.8494,56.5424,10972.8,False,219.25,258.08,6.5,,9791.7,1000,False,0,2026-07-23 09:04:03.321935
47a7a8,NSZ3DA  ,Norway,1784797434.0,1784797435,16.0109,57.1354,11277.6,False,220.52,29.79,0.0,,11369.04,1000,False,0,2026-07-23 09:04:03.321935
502d44,SWR8KW  ,Latvia,1784797435.0,1784797435,10.918,47.0844,9144.0,False,221.99,335.93,0.0,,9441.18,1000,False,0,2026-07-23 09:04:03.321935
a98edc,CKS812  ,United States,1784797430.0,1784797433,-169.2724,60.0816,11574.78,False,221.46,249.04,0.0,,11788.14,,False,0,2026-07-23 09:04:03.321935
502d45,BTI611  ,Latvia,1784796773.0,1784797433,23.9571,55.5764,10980.42,False,209.38,196.12,6.18,,8732.52,4516,False,0,2026-07-23 09:04:03.321935
a5b56c,UPS990  ,United States,1784797434.0,1784797434,-106.5085,40.4626,11605.26,False,238.58,301.6,5.2,,12352.02,3254,False,0,2026-07-23 09:04:03.321935
780f3f,CES583  ,China,1784797435.0,1784797435,143.0141,35.502,9753.6,False,260.29,71.57,0.0,,10447.02,4407,False,0,2026-07-23 09:04:03.321935
502d3e,AUA312U ,Latvia,1784797435.0,1784797435,12.2272,49.79,10668.0,False,244.74,118.77,0.0,,10812.78,1000,False,0,2026-07-23 09:04:03.321935
0c21f9,CMP354  ,Panama,1784797186.0,1784797196,-64.2118,-31.3148,,True,0.0,250.31,,,,,False,0,2026-07-23 09:04:03.321935
44d1a2,JAF8WT  ,Belgium,1784797435.0,1784797435,1.4882,48.9016,10363.2,False,201.45,6.6,0.0,,10828.02,1000,False,0,2026-07-23 09:04:03.321935
4ab346,SCQZ2F  ,Sweden,1784797428.0,1784797434,8.1064,58.2221,228.6,False,42.18,30.0,5.2,,297.18,,False,0,2026-07-23 09:04:03.321935
781640,CSC3996 ,China,1784797434.0,1784797435,101.3416,12.8507,9753.6,False,231.45,13.76,0.0,,10370.82,2151,False,0,2026-07-23 09:04:03.321935
89912a,SJX803  ,Taiwan,1784797424.0,1784797432,131.3564,32.1655,11582.4,False,259.19,234.86,0.0,,12382.5,3212,False,0,2026-07-23 09:04:03.321935
49d2a8,JBC579C ,Czech Republic,1784797435.0,1784797435,4.6024,52.6879,12192.0,False,214.15,279.96,0.0,,12618.72,3115,False,0,2026-07-23 09:04:03.321935
acb821,ASI939  ,United States,1784797434.0,1784797435,-111.2944,32.637,2026.92,False,52.38,315.0,0.0,,2103.12,,False,0,2026-07-23 09:04:03.321935
a217e6,FHEKD   ,United States,1784797420.0,1784797430,8.5726,47.4536,373.38,True,0.06,348.75,,,,1000,False,0,2026-07-23 09:04:03.321935
402953,GBNJH   ,United Kingdom,1784797435.0,1784797435,-2.8713,56.6641,609.6,False,46.2,71.16,-0.33,,754.38,,False,0,2026-07-23 09:04:03.321935
899140,UIA8682 ,Taiwan,1784797418.0,1784797426,119.9591,23.1425,1363.98,False,132.13,157.33,0.0,,1958.34,,False,0,2026-07-23 09:04:03.321935
899142,UIA8702 ,Taiwan,1784797435.0,1784797435,120.4371,22.4237,1341.12,False,119.25,40.98,-2.6,,1371.6,2012,False,0,2026-07-23 09:04:03.321935
750499,9MITL   ,Malaysia,1784797435.0,1784797435,102.2454,2.2535,160.02,False,39.0,216.42,1.63,,129.54,,False,0,2026-07-23 09:04:03.321935
89913f,EVA870  ,Taiwan,1784797432.0,1784797434,120.7985,24.8367,3368.04,False,142.27,46.32,-5.53,,3589.02,5713,False,0,2026-07-23 09:04:03.321935
400f34,GHTRL   ,United Kingdom,1784797435.0,1784797435,-1.0827,51.7707,1097.28,False,83.21,111.01,-1.95,,1257.3,4503,False,0,2026-07-23 09:04:03.321935
